removed_or_compared,auc_variant,auc_pcdt,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT-noPsi,0.7504596514804116,0.7504954610107104,3.580953029880263e-05,-0.0005008709696578794,0.0006534596468452334,0.87,False,0.87
Control,0.735154134018556,0.7504954610107104,0.015341326992154403,0.014232831910062738,0.0164459229798738,0.0,True,0.0
DKT-F,0.7494304091908618,0.7504954610107104,0.001065051819848617,0.0001233659849125185,0.0020560817909235,0.029,False,0.058
