model,auc_within,n_within,auc_sameday,n_sameday,auc_d1,n_d1,auc_d7,n_d7,auc_d28,n_d28,auc_mean_postgap,rank_within,rank_mean_postgap
PCDT,0.7603577960432573,313743,0.6998903771964593,24194,0.6897717588618286,24484,0.6607837991291348,8601,,1267,0.6752777789954817,1.0,5.0
PCDT-noPsi,0.760020549514925,313743,0.7016942446200671,24194,0.6914774614776704,24484,0.6616720017827593,8601,,1267,0.6765747316302149,2.0,3.0
DKT-F,0.7575664552239011,313743,0.7000220779957218,24194,0.694472738893658,24484,0.6663972728048414,8601,,1267,0.6804350058492497,3.0,1.0
DKT,0.7546127159381755,313743,0.6971775122604166,24194,0.6902627426064896,24484,0.6581004411058553,8601,,1267,0.6741815918561724,4.0,6.0
DKVMN,0.7525896118645964,313743,0.6966811934160891,24194,0.6915016572259105,24484,0.6605235675519645,8601,,1267,0.6760126123889375,5.0,4.0
Control,0.7475693220559825,313743,0.6664877556506876,24194,0.6567985174350834,24484,0.6339021949089694,8601,,1267,0.6453503561720264,6.0,8.0
AKT,0.7418522726078083,313743,0.6748628647424396,24194,0.6697741309327478,24484,0.6421462087317082,8601,,1267,0.655960169832228,7.0,7.0
SAKT,0.7322728250822741,313743,0.6938448205315155,24194,0.6934381052664945,24484,0.6617273158851664,8601,,1267,0.6775827105758305,8.0,2.0
