adequate,n_learners,n_points,retention_advantage,ci_lo,ci_hi,auc_pcdt,auc_comparator,horizon,comparator,source
True,4394,24484,0.020184767439470397,0.017489411396257197,0.022927705930918862,0.6897717588618286,0.6567985174350834,d1,Control,real
True,4040,8601,0.014093130232890605,0.009806198979875905,0.018554149580862805,0.6607837991291348,0.6339021949089694,d7,Control,real
False,1222,1267,,,,,,d28,Control,INADEQUATE
True,4394,24484,-0.007492320851185563,-0.01065396388606445,-0.0040205296252883846,0.6897717588618286,0.694472738893658,d1,DKT-F,real
True,4040,8601,-0.008404814495062807,-0.014507596259198077,-0.0023039854290565,0.6607837991291348,0.6663972728048414,d7,DKT-F,real
False,1222,1267,,,,,,d28,DKT-F,INADEQUATE
