comparison,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT - DKT,0.004905331864710205,0.004042726697798321,0.005852436540102565,0.0,False,0.0
PCDT - SAKT,0.02429063129421416,0.02288663641389381,0.025884938025175858,0.0,True,0.0
PCDT - AKT,0.019050108122967924,0.01793355999941002,0.020183799556653233,0.0,True,0.0
PCDT - DKVMN,0.006850307069643624,0.0060034120852214545,0.007769300361766709,0.0,False,0.0
PCDT - DKT-F,0.001065051819848617,0.0001233659849125185,0.0020560817909235,0.029,False,0.058
PCDT - PCDT-noPsi,3.580953029880263e-05,-0.0005008709696578794,0.0006534596468452334,0.87,False,0.87
PCDT - Control,0.015341326992154403,0.014232831910062738,0.0164459229798738,0.0,True,0.0
