model,params,hidden,lr,capacity_matched,n,auc,acc,rmse,nll,ece,brier
DKT,350775,76,0.002,True,707554,0.7333058055376195,0.7367607278031076,0.4216553270816803,0.5320624113082886,0.009825635937343744,0.17779321691639505
SAKT,343441,73,0.002,True,707554,0.7305521047845853,0.7326677539806149,0.42367976903915405,0.5359455943107605,0.023019339060414885,0.17950455951609873
AKT,351110,109,0.002,True,707554,0.739996096979143,0.7399618969011552,0.4194992482662201,0.5276663899421692,0.008763243815540415,0.1759796322445079
DKVMN,349601,80,0.002,True,707554,0.7482379301660389,0.7442470822014998,0.4164893329143524,0.5214220881462097,0.007159736353206277,0.17346338012523352
DKT-F,351383,76,0.002,True,707554,0.7344244953290091,0.7370490450198854,0.4214933514595032,0.5321221947669983,0.014953215709054921,0.17765665023166596
PCDT,350183,73,0.002,True,707554,0.750455360255128,0.745449817257764,0.41548189520835876,0.5192415714263916,0.00407770548253591,0.17262521483321275
PCDT-noPsi,350183,73,0.002,True,707554,0.750131835456805,0.7452010729923088,0.4156326949596405,0.519512951374054,0.003931366847841799,0.17275052680861766
Control,350183,73,0.002,True,707554,0.7427498389085107,0.7426274178366599,0.41800543665885925,0.524540364742279,0.003378225335674886,0.1747285473424829
