removed_or_compared,auc_variant,auc_pcdt,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT-noPsi,0.750131835456805,0.750455360255128,0.0003235247983230938,2.823504016673806e-05,0.000631568360851259,0.03,False,0.03
Control,0.7427498389085107,0.750455360255128,0.007705521346617394,0.0071249983392652014,0.008223136790582628,0.0,False,0.0
DKVMN,0.7482379301660389,0.750455360255128,0.002217430089089145,0.0014318184649747268,0.0031122637680272487,0.0,False,0.0
