dataset,seed,primary,pcdt_auc,strongest,baseline_auc,delta,verdict
assistments_2021,20260202,True,0.7505806615184115,DKT-F,0.7492601777692057,0.001320483749205792,equivalent (below MMDE)
assistments_2021,20260203,False,0.7504954610107104,DKT-F,0.7494304091908618,0.001065051819848617,equivalent (below MMDE)
assistments_2021,20260204,False,0.7492948374719866,DKT-F,0.7503683218623418,-0.0010734843903552616,equivalent (below MMDE)
ednet_flat,20260202,True,0.7117241423387753,DKT,0.7092161690108503,0.0025079733279250727,equivalent (below MMDE)
ednet_flat,20260203,False,0.7106662407715596,DKT-F,0.7088801756201343,0.00178606515142532,equivalent (below MMDE)
ednet_flat,20260204,False,0.7111285717016738,DKT,0.7091458492427698,0.0019827224589039627,equivalent (below MMDE)
junyi,20260202,True,0.7508283662294948,DKVMN,0.7422428949968249,0.008585471232669839,equivalent (below MMDE)
junyi,20260203,False,0.7476442390125488,DKVMN,0.739767237566515,0.007877001446033871,equivalent (below MMDE)
junyi,20260204,False,0.750455360255128,DKVMN,0.7424175532671337,0.00803780698799439,equivalent (below MMDE)
