model,n,auc,acc,rmse,nll,ece,brier,auc_archived,delta_vs_archived
DKT,497634,0.7074899688152878,0.6807955244215629,0.4564259946346283,0.605039656162262,0.00871904154403703,0.20832468072372817,0.7074899688152878,0.0
SAKT,497634,0.7048743285293191,0.6793526969620243,0.45712316036224365,0.6063947081565857,0.011155532955545553,0.2089615874386158,0.7048743285293191,0.0
AKT,497634,0.6884293284874765,0.6725906991885603,0.4614764451980591,0.6156124472618103,0.014653326655567574,0.21296050734066863,0.6884293284874765,0.0
DKVMN,497634,0.7105721370605678,0.6810406845191446,0.4558761417865753,0.6038066148757935,0.015345757864330754,0.2078230852456546,0.7105721370605678,0.0
DKT-F,497634,0.7088797612924335,0.68120747376586,0.45600366592407227,0.6040639281272888,0.009267420964520164,0.2079393552249556,0.7088797612924335,0.0
PCDT,497634,0.7106662407715596,0.682282561079026,0.45503339171409607,0.6018661260604858,0.006692133932592954,0.2070553744306906,0.7106662407715596,0.0
PCDT-noPsi,497634,0.7119832489832172,0.6829436895388981,0.4547330141067505,0.6012292504310608,0.005466456284191763,0.20678210800931882,0.7119832489832172,0.0
Control,497634,0.702615316097613,0.6795014006277706,0.4570215046405792,0.6059807538986206,0.005906832491380879,0.20886864100028957,0.702615316097613,0.0
