model,auc_within,n_within,auc_sameday,n_sameday,auc_d1,n_d1,auc_d7,n_d7,auc_d28,n_d28,auc_mean_postgap,rank_within,rank_mean_postgap
PCDT-noPsi,0.7158555390920861,469905,0.6262029620393978,15028,0.6357152388790738,8847,0.6560576848800083,2283,,1571,0.645886461879541,1.0,1.0
PCDT,0.7147014253580648,469905,0.6205548586440869,15028,0.6320415048719945,8847,0.6506672288598208,2283,,1571,0.6413543668659076,2.0,4.0
DKVMN,0.7140408513066246,469905,0.6378366546616058,15028,0.6407538718049558,8847,0.6453399391028942,2283,,1571,0.643046905453925,3.0,3.0
DKT-F,0.7127230413834676,469905,0.6232387382920607,15028,0.6283094239567887,8847,0.6420041971366772,2283,,1571,0.6351568105467329,4.0,5.0
DKT,0.7115415201191023,469905,0.618185340388281,15028,0.6222029985352115,8847,0.6421075966886394,2283,,1571,0.6321552976119255,5.0,6.0
SAKT,0.7084451214534845,469905,0.6240926859892595,15028,0.6385566616797231,8847,0.650576703960243,2283,,1571,0.6445666828199831,6.0,2.0
Control,0.7069923300836781,469905,0.6036493813360098,15028,0.6183524607243766,8847,0.6333910546915233,2283,,1571,0.62587175770795,7.0,7.0
AKT,0.6926621777867397,469905,0.5952377774094818,15028,0.6065063028434834,8847,0.6011122894994335,2283,,1571,0.6038092961714585,8.0,8.0
