removed_or_compared,auc_variant,auc_pcdt,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT-noPsi,0.7119832489832172,0.7106662407715596,-0.0013170082116575887,-0.0017675975477204175,-0.0008755056179581723,0.0,False,0.0
Control,0.702615316097613,0.7106662407715596,0.008050924673946636,0.007369192575251387,0.00875851443318799,0.0,False,0.0
DKVMN,0.7105721370605678,0.7106662407715596,9.410371099183301e-05,-0.0007002045536701751,0.0008301508646366498,0.816,False,0.816
