comparison,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm,verdict
PCDT - DKT,0.0031762719562717923,0.0025121796293663123,0.0038178271047243514,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - SAKT,0.005791912242240516,0.004881382118261085,0.006664068902836148,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - AKT,0.022236912284083088,0.020824808342878913,0.023791576788287437,0.0,True,0.0,significant AND meaningful
PCDT - DKVMN,9.410371099183301e-05,-0.0007002045536701751,0.0008301508646366498,0.816,False,0.816,not significant
PCDT - DKT-F,0.0017864794791261351,0.0011371062924395632,0.0024558837673908426,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - PCDT-noPsi,-0.0013170082116575887,-0.0017675975477204175,-0.0008755056179581723,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - Control,0.008050924673946636,0.007369192575251387,0.00875851443318799,0.0,False,0.0,significant but < 0.01 (negligible)
