dimension,ednet_flat
I_t (identity),0.6204976412339585
C_t (cognition),0.42615224344815733
B_t (behaviour),-0.01147665672968517
M_t (metacognition),0.09091425252687789
G_t (goals),0.13136874952245456
H_t (historical memory),0.7667550259525964
