comparison,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm,verdict
PCDT - DKT,0.0038630493270238597,0.0029712392493341537,0.004696164337561647,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - SAKT,0.02563653375919439,0.02409998164297922,0.027247442386578374,0.0,True,0.0,significant AND meaningful
PCDT - AKT,0.018796413504349907,0.017764411891248298,0.019822507614941465,0.0,True,0.0,significant AND meaningful
PCDT - DKVMN,0.006842321597419598,0.005941361880696447,0.007695351648814841,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - DKT-F,-0.0010734843903552616,-0.001989067247098425,-0.00019961431017874502,0.015,False,0.03,significant but < 0.01 (negligible)
PCDT - PCDT-noPsi,-0.0005873256612911604,-0.0011755766730313893,-1.795339140778511e-05,0.045,False,0.045,significant but < 0.01 (negligible)
PCDT - Control,0.014512472609110594,0.013483368202033816,0.015640272674814135,0.0,True,0.0,significant AND meaningful
