removed_or_compared,auc_variant,auc_pcdt,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT-noPsi,0.7498821631332777,0.7492948374719866,-0.0005873256612911604,-0.0011755766730313893,-1.795339140778511e-05,0.045,False,0.045
Control,0.734782364862876,0.7492948374719866,0.014512472609110594,0.013483368202033816,0.015640272674814135,0.0,True,0.0
DKT-F,0.7503683218623418,0.7492948374719866,-0.0010734843903552616,-0.001989067247098425,-0.00019961431017874502,0.015,False,0.03
