model,params,hidden,lr,capacity_matched,n,auc,acc,rmse,nll,ece,brier
DKT,350475,150,0.0005,True,385600,0.7454317881449627,0.7273418049792532,0.42906278371810913,0.5487825870513916,0.004895587893032866,0.18409485455591795
SAKT,344121,140,0.0005,True,385600,0.7236583037127922,0.7130705394190872,0.4378527104854584,0.566981315612793,0.02389493778838749,0.1917149917708733
AKT,349622,199,0.001,True,385600,0.7304984239676366,0.7201659751037345,0.43521547317504883,0.5624942183494568,0.024803495386159398,0.18941250158266476
DKVMN,349805,182,0.001,True,385600,0.742452515874567,0.7255212655601659,0.43034428358078003,0.551504373550415,0.014283343569754288,0.18519616757483318
DKT-F,351675,150,0.001,True,385600,0.7503683218623418,0.7289548755186722,0.42759737372398376,0.5453583002090454,0.018310621072957486,0.18283951638288568
PCDT,350010,134,0.0005,True,385600,0.7492948374719866,0.730695020746888,0.4270540475845337,0.5444879531860352,0.005786351341564842,0.18237514189421813
PCDT-noPsi,350010,134,0.001,True,385600,0.7498821631332777,0.7304123443983402,0.42720866203308105,0.5447902083396912,0.010262382243754132,0.18250724807589402
Control,350010,134,0.0005,True,385600,0.734782364862876,0.7237292531120332,0.4320424199104309,0.5553315281867981,0.008781307918015728,0.18666063460415505
