adequate,n_learners,n_points,retention_advantage,ci_lo,ci_hi,auc_pcdt,auc_comparator,horizon,comparator,source
True,2392,8859,0.006099148476292449,0.0010670015807869276,0.011040381967954791,0.6378099554841135,0.6237320994017403,d1,Control,real
True,1369,2323,0.008946629748441182,0.0009426290935117683,0.01728225195715567,0.6445373699880137,0.6276120326334919,d7,Control,real
False,1140,1599,,,,,,d28,Control,INADEQUATE
True,2392,8859,0.0044730462225622825,-0.0011820014086273477,0.010043086015127779,0.6378099554841135,0.6305909701423471,d1,DKT-F,real
True,1369,2323,0.0033759338267030925,-0.0070987062716964585,0.013290962600868558,0.6445373699880137,0.6384154970421065,d7,DKT-F,real
False,1140,1599,,,,,,d28,DKT-F,INADEQUATE
True,2392,8859,-0.00821719175268576,-0.01362039247029937,-0.0024826787738427285,0.6378099554841135,0.6448572301845865,d1,DKVMN,real
True,1369,2323,-0.010366839296345298,-0.0201057933707261,-0.0006329511651674342,0.6445373699880137,0.6537342922321463,d7,DKVMN,real
False,1140,1599,,,,,,d28,DKVMN,INADEQUATE
