removed_or_compared,auc_variant,auc_pcdt,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT-noPsi,0.7127475390541145,0.7117241423387753,-0.001023396715339131,-0.0014135284694977684,-0.0006266216164798475,0.0,False,0.0
Control,0.7034247787768779,0.7117241423387753,0.008299363561897422,0.007548324376108409,0.00907904173071142,0.0,False,0.0
DKVMN,0.711145653278178,0.7117241423387753,0.0005784890605973203,-0.00014901491458552962,0.001272679400582518,0.12,False,0.12
