model,params,hidden,lr,capacity_matched,n,auc,acc,rmse,nll,ece,brier
DKT,351583,184,0.0005,True,494743,0.7092161221745145,0.6820793826289608,0.4558248817920685,0.6037737131118774,0.011726972091204785,0.2077763210522114
SAKT,347097,172,0.0005,True,494743,0.7053182507304814,0.6808706742692671,0.4569157660007477,0.6063008308410645,0.01469318781090595,0.20877200160366502
AKT,351142,237,0.0005,True,494743,0.689541127074799,0.6736204453625417,0.4608971178531647,0.6143456101417542,0.008721400343988897,0.21242613706333963
DKVMN,349921,240,0.0005,True,494743,0.711145653278178,0.683118305867895,0.4552001357078552,0.6024730205535889,0.007890177336103706,0.2072071507704662
DKT-F,349673,183,0.0005,True,494743,0.7090592588657905,0.6816791748443131,0.455935537815094,0.6042693257331848,0.014151084744130644,0.2078772132974221
PCDT,348371,159,0.001,True,494743,0.7117241423387753,0.6839894652375071,0.4545285701751709,0.6010534167289734,0.008817933198901746,0.2065962293106988
PCDT-noPsi,348371,159,0.0005,True,494743,0.7127475390541145,0.6844583955710338,0.4542721211910248,0.6004469394683838,0.008011650577357199,0.20636317674412405
Control,348371,159,0.0005,True,494743,0.7034247787768779,0.6802703625922953,0.45663535594940186,0.6053245067596436,0.005719613820028337,0.20851584076963905
