horizon,comparator,threshold,extra_correctly_flagged,extra_false_alarms,fewer_missed,d_precision,d_recall,d_f1,strict_win
within,Control,0.3,2235,553,2235,0.004442447926353621,0.011284972052653108,0.017691035361917296,False
within,Control,0.4,1962,572,1962,0.003563489164953193,0.009906539224745131,0.012392066808959434,False
within,Control,0.5,563,-1111,563,0.008890191689554627,0.002842702132279107,0.0045332529967771484,True
within,Control,0.6,-963,-4478,-963,0.012075644867030055,-0.004862383931411585,0.0024065332920232274,False
within,Control,0.7,-1686,-9555,-1686,0.013680476847129475,-0.008512958783343683,0.006144111130376717,False
sameday,Control,0.3,41,-9,41,0.05302399778055211,0.010696582311505352,0.01875181646054798,True
sameday,Control,0.4,41,-22,41,0.036760774425220966,0.010696582311505332,0.016874854990458404,True
sameday,Control,0.5,14,-88,14,0.03636572406567129,0.003652491521001805,0.00996627875561601,True
sameday,Control,0.6,-9,-149,-9,0.025588502575960348,-0.002348030263501222,0.008199498831271801,False
sameday,Control,0.7,-51,-349,-51,0.026620405562565286,-0.013305504826506609,0.012373317923233484,False
d1,Control,0.3,54,21,54,-0.002564102564102666,0.011435832274459976,0.019197732503885206,False
d1,Control,0.4,90,-4,90,0.03200470500173758,0.019059720457433288,0.02810319843384171,True
d1,Control,0.5,71,-14,71,0.01832927600887968,0.015036001694197387,0.01823555256871462,True
d1,Control,0.6,5,-147,5,0.023339259898479736,0.0010588733587462706,0.009396046390017454,True
d1,Control,0.7,-34,-305,-34,0.02151483395351539,-0.007200338839474796,0.010806815522075852,False
d7,Control,0.3,31,6,31,0.02067736185383251,0.015063168124392609,0.025974791000936068,False
d7,Control,0.4,37,3,37,0.02761627906976749,0.017978620019436342,0.027207057182078026,False
d7,Control,0.5,48,-16,48,0.036731085006947106,0.023323615160349864,0.029968594460937026,True
d7,Control,0.6,40,-48,40,0.028856761603644587,0.0194363459669582,0.02328612368753591,True
d7,Control,0.7,-19,-103,-19,0.014849772184598653,-0.00923226433430513,0.005640122029551109,False
d28,Control,0.3,14,1,14,0.06654456654456653,0.013806706114398423,0.02469721550501494,False
d28,Control,0.4,17,0,17,0.03849483849483848,0.01676528599605523,0.02608922589008883,True
d28,Control,0.5,0,-9,0,0.015237802062490369,0.0,0.0020960920586693965,False
d28,Control,0.6,14,-20,14,0.0252110753467365,0.013806706114398382,0.018042893593545217,True
d28,Control,0.7,-6,-40,-6,0.013547961683299803,-0.00591715976331364,0.0057708746257139065,False
within,DKT-F,0.3,7903,2063,7903,0.01743320900802947,0.039903863146361296,0.06454195655303671,False
within,DKT-F,0.4,7409,1798,7409,0.020586069182755296,0.037409556124432586,0.048524539358187235,False
within,DKT-F,0.5,4593,-1339,4593,0.025641710904450665,0.023190996258539487,0.026236504728019694,True
within,DKT-F,0.6,2015,-6187,2015,0.025248417503212384,0.01017414706313019,0.016695099709551853,True
within,DKT-F,0.7,867,-11563,867,0.021955672940841886,0.004377660299619834,0.016251238535349155,True
sameday,DKT-F,0.3,138,46,138,0.006009929448654305,0.03600313070701801,0.06310111882705702,False
sameday,DKT-F,0.4,127,47,127,0.016956298880603238,0.033133315940516564,0.048175664065657375,False
sameday,DKT-F,0.5,57,-61,57,0.03780859038985229,0.014870858335507414,0.021353404550156996,True
sameday,DKT-F,0.6,-92,-271,-92,0.03305590957659088,-0.02400208713801205,-0.0018755229422439679,False
sameday,DKT-F,0.7,-158,-646,-158,0.03995334421344643,-0.04122097573702055,0.012160053011586291,False
d1,DKT-F,0.3,212,79,212,-0.008045977011494343,0.04489623041084287,0.07878647410381158,False
d1,DKT-F,0.4,273,77,273,0.04115545938698517,0.057814485387547646,0.08532582450472101,False
d1,DKT-F,0.5,169,3,169,0.033561612564488974,0.03578991952562474,0.042098289142345924,False
d1,DKT-F,0.6,-13,-257,-13,0.03694409102998153,-0.0027530707327403925,0.012310061106648895,False
d1,DKT-F,0.7,-230,-734,-230,0.03612918289421019,-0.04870817450232956,0.006025779833694345,False
d7,DKT-F,0.3,103,32,103,0.023241464417935065,0.05004859086491739,0.08959351481438478,False
d7,DKT-F,0.4,118,34,118,0.05818965517241381,0.05733722060252673,0.08870529918564854,False
d7,DKT-F,0.5,81,-12,81,0.052862844678410625,0.039358600583090375,0.049407690384345004,True
d7,DKT-F,0.6,-16,-162,-16,0.04771241830065365,-0.007774538386783325,0.01358099903436899,False
d7,DKT-F,0.7,-167,-444,-167,0.04000682168354447,-0.08114674441205061,-0.002001138923418244,False
d28,DKT-F,0.3,33,22,33,-0.1287625418060201,0.03254437869822485,0.058691067852109306,False
d28,DKT-F,0.4,44,41,44,-0.0952758581624561,0.04339250493096647,0.0646228502448907,False
d28,DKT-F,0.5,16,20,16,-0.01952247191011236,0.015779092702169623,0.015320806749909766,False
d28,DKT-F,0.6,-17,-92,-17,0.05736289124814342,-0.016765285996055257,0.009134718564042521,False
d28,DKT-F,0.7,-79,-286,-79,0.06587538673245164,-0.07790927021696259,0.015933451412795674,False
within,DKVMN,0.3,588,-267,588,0.012486930881665304,0.002968932244724845,0.004946623108225939,True
within,DKVMN,0.4,-2990,-2680,-2990,0.015332038660200165,-0.015097121448515771,-0.016124778892976865,False
within,DKVMN,0.5,-4616,-6129,-4616,0.019531306444394825,-0.023307127961989582,-0.014811902104576002,False
within,DKVMN,0.6,-3746,-7960,-3746,0.01580166238395153,-0.018914320048876276,-0.0037539056097112278,False
within,DKVMN,0.7,-1950,-7471,-1950,0.009595502004368095,-0.009845948770771162,0.002903594524546027,False
sameday,DKVMN,0.3,-25,-2,-25,-0.012798134186053356,-0.006522306287503263,-0.011049314573317759,False
sameday,DKVMN,0.4,-134,-56,-134,-0.006840854120602535,-0.034959561701017494,-0.046680695626875046,False
sameday,DKVMN,0.5,-132,-137,-132,0.018663426522163906,-0.034437777198017216,-0.0295177285971594,False
sameday,DKVMN,0.6,-117,-114,-117,0.003121212975227605,-0.030524393425515273,-0.018059475532651026,False
sameday,DKVMN,0.7,-29,-65,-29,0.003222911869565581,-0.007565875293503721,-0.00085307767661702,False
d1,DKVMN,0.3,-42,-3,-42,-0.01764705882352946,-0.008894536213468862,-0.014924175293562048,False
d1,DKVMN,0.4,-96,-65,-96,0.014561664691803089,-0.02033036848792885,-0.025809653906023106,False
d1,DKVMN,0.5,-145,-88,-145,0.0012065291232772335,-0.030707327403642515,-0.029411918747401566,False
d1,DKVMN,0.6,-63,-34,-63,-0.002210633857304578,-0.013341804320203321,-0.009472013549572167,False
d1,DKVMN,0.7,-16,17,-16,-0.0028038825994265992,-0.0033883947479881327,-0.0030692598097934454,False
d7,DKVMN,0.3,20,-2,20,0.03803436382621905,0.0097181729834791,0.01694610485007346,True
d7,DKVMN,0.4,-38,-16,-38,-0.001997716894977186,-0.018464528668610314,-0.02577096327096326,False
d7,DKVMN,0.5,-59,-17,-59,-0.014689566413704336,-0.028668610301263386,-0.03122736551776345,False
d7,DKVMN,0.6,-37,17,-37,-0.01680371073160447,-0.017978620019436342,-0.017920661876123123,False
d7,DKVMN,0.7,-41,55,-41,-0.01890378762618028,-0.019922254616132173,-0.019514245587322954,False
d28,DKVMN,0.3,10,20,10,-0.20032051282051277,0.009861932938856018,0.01619378738022806,False
d28,DKVMN,0.4,-11,22,-11,-0.10462052567315727,-0.010848126232741617,-0.020335012630004395,False
d28,DKVMN,0.5,-28,12,-28,-0.048689138576779034,-0.027613412228796846,-0.036696474652679,False
d28,DKVMN,0.6,-14,24,-14,-0.029206272534373023,-0.013806706114398437,-0.01931082492168462,False
d28,DKVMN,0.7,10,52,10,-0.018311615477562437,0.009861932938855955,-0.006398898257891084,False
