comparison,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm,verdict
PCDT - DKT,0.018400419546197866,0.0172945965337234,0.01956111657651214,0.0,True,0.0,significant AND meaningful
PCDT - SAKT,0.021399457988286907,0.020148373301581875,0.022649081253258256,0.0,True,0.0,significant AND meaningful
PCDT - AKT,0.009657538769491048,0.008835206202077039,0.010472743237246947,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - DKVMN,0.0033908889641731665,0.0025451800571340668,0.004268912394547834,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - DKT-F,0.01684693381081126,0.0157893805828141,0.017936644386687926,0.0,True,0.0,significant AND meaningful
PCDT - PCDT-noPsi,8.928745930614213e-06,-0.0003710581395896251,0.00037982740388195214,0.947,False,0.947,not significant
PCDT - Control,0.0073088572938931895,0.006754346138958511,0.007932447414031577,0.0,False,0.0,significant but < 0.01 (negligible)
