model,auc_within,n_within,auc_sameday,n_sameday,auc_d1,n_d1,auc_d7,n_d7,auc_d28,n_d28,auc_mean_postgap,rank_within,rank_mean_postgap
PCDT,0.7522030601834022,673602,0.7255880657312748,12752,0.7341025270150026,15132,0.7143899785288019,6490,0.7252489257945555,3171,0.7245804771127866,1.0,3.0
PCDT-noPsi,0.7520629364317442,673602,0.7277453483356178,12752,0.7366113957151128,15132,0.7190423455354291,6490,0.725367342142778,3171,0.7270070277977734,2.0,2.0
DKVMN,0.7483865693302095,673602,0.7294172789180954,12752,0.7367405864022352,15132,0.727668978241116,6490,0.7379018726242434,3171,0.7341038124225315,3.0,1.0
Control,0.7453692404745473,673602,0.7077906158762486,12752,0.71639004744485,15132,0.6998288904267225,6490,0.7141918564300077,3171,0.7101369314338601,4.0,6.0
AKT,0.742209020138144,673602,0.7201963656618293,12752,0.7323683548830844,15132,0.712637001680507,6490,0.7280712582948595,3171,0.7243588716194836,5.0,4.0
DKT-F,0.7353654907036392,673602,0.709105110326065,12752,0.7138133030298223,15132,0.6913522951728397,6490,0.6958674980500165,3171,0.7003443654175595,6.0,7.0
DKT,0.733860174537431,673602,0.7072320771279282,12752,0.712503636380651,15132,0.6912006131746149,6490,0.6965912551127058,3171,0.7000985015559905,7.0,8.0
SAKT,0.730011407677232,673602,0.715602450637937,12752,0.7250949731080751,15132,0.7155129844614483,6490,0.7249810030916268,3171,0.7218629868870501,8.0,5.0
