bucket,n,delta,ci_lo,ci_hi,p,sig,seed,role,comparison
within,466914,0.001169917052212699,0.00046207862240269795,0.0018966849479519015,0.001,True,s1,exploratory,PCDT - DKVMN
d1,8859,-0.007047274700473061,-0.013946141088944614,0.00013942413891925143,0.054,False,s1,exploratory,PCDT - DKVMN
d7,2323,-0.0091969222441326,-0.022083798697882507,0.0031344181187645294,0.151,False,s1,exploratory,PCDT - DKVMN
within,469905,0.0006605740514401548,-0.00013093146142748868,0.0014905164571116453,0.097,False,s2,exploratory,PCDT - DKVMN
d1,8847,-0.00871236693296129,-0.016236353195732803,-0.0005565859125424373,0.034,True,s2,exploratory,PCDT - DKVMN
d7,2283,0.005327289756926534,-0.00922475738591321,0.01984605601851015,0.468,False,s2,exploratory,PCDT - DKVMN
within,470863,0.0006651185229150647,-0.00016013256225418936,0.0014555105553710364,0.103,False,s3,CONFIRMATORY,PCDT - DKVMN
d1,8762,-0.011487913784505088,-0.019132673643297942,-0.003639576874092344,0.006,True,s3,CONFIRMATORY,PCDT - DKVMN
d7,2299,-0.011399478634078752,-0.025653170463131286,0.003548895755087582,0.125,False,s3,CONFIRMATORY,PCDT - DKVMN
