removed_or_compared,auc_variant,auc_pcdt,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT-noPsi,0.7479632654877163,0.7476442390125488,-0.00031902647516746097,-0.0006705108037584478,1.1601417877921092e-05,0.062,False,0.062
Control,0.7409875756044912,0.7476442390125488,0.006656663408057595,0.006006039912830047,0.007313039573975013,0.0,False,0.0
DKVMN,0.7454449076800607,0.7476442390125488,0.0021993313324881747,0.0012939259929518083,0.003092346225995417,0.0,False,0.0
