comparison,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm,verdict
PCDT - DKT,0.014962934781269865,0.013825633203283078,0.016137423693992393,0.0,True,0.0,significant AND meaningful
PCDT - SAKT,0.019285821600099173,0.01802717241444379,0.020623098884618923,0.0,True,0.0,significant AND meaningful
PCDT - AKT,0.009437913552492683,0.00846608347043728,0.010437935601476477,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - DKVMN,0.0021993313324881747,0.0012939259929518083,0.003092346225995417,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - DKT-F,0.015158650332014023,0.014008363529366291,0.016323986191264506,0.0,True,0.0,significant AND meaningful
PCDT - PCDT-noPsi,-0.00031902647516746097,-0.0006705108037584478,1.1601417877921092e-05,0.062,False,0.062,not significant
PCDT - Control,0.006656663408057595,0.006006039912830047,0.007313039573975013,0.0,False,0.0,significant but < 0.01 (negligible)
