dataset,seed,primary,pcdt_auc,strongest,baseline_auc,delta,verdict
assistments_2021,20260202,True,0.7505806615184115,DKT-F,0.7492601777692057,0.001320483749205792,equivalent (below MMDE)
assistments_2021,20260203,False,0.7504954610107104,DKT-F,0.7494304091908618,0.001065051819848617,equivalent (below MMDE)
assistments_2021,20260204,False,0.7492948374719866,DKT-F,0.7503683218623418,-0.0010734843903552616,equivalent (below MMDE)
ednet_flat,20260202,True,0.7117241423387753,DKVMN,0.711145653278178,0.0005784890605973203,equivalent (below MMDE)
ednet_flat,20260203,False,0.7106662407715596,DKVMN,0.7105721370605678,9.410371099183301e-05,equivalent (below MMDE)
ednet_flat,20260204,False,0.7111285717016738,DKVMN,0.7109006193476011,0.00022795235407269132,equivalent (below MMDE)
junyi,20260202,True,0.7508283662294948,DKVMN,0.7474374772653216,0.0033908889641731665,equivalent (below MMDE)
junyi,20260203,False,0.7476442390125488,DKVMN,0.7454449076800607,0.0021993313324881747,equivalent (below MMDE)
junyi,20260204,False,0.750455360255128,DKVMN,0.7482379301660389,0.002217430089089145,equivalent (below MMDE)
