comparison,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT - DKT,0.0025080201642608824,0.0018567232203099803,0.0031595148016433064,0.0,False,0.0
PCDT - SAKT,0.006405891608293968,0.005551326907191437,0.007236755773697634,0.0,False,0.0
PCDT - AKT,0.02218301526397637,0.0206417184713999,0.023766471076337142,0.0,True,0.0
PCDT - DKVMN,0.0005784890605973203,-0.00014901491458552962,0.001272679400582518,0.12,False,0.12
PCDT - DKT-F,0.0026648834729848803,0.0020179239722633415,0.0033393588948425,0.0,False,0.0
PCDT - PCDT-noPsi,-0.001023396715339131,-0.0014135284694977684,-0.0006266216164798475,0.0,False,0.0
PCDT - Control,0.008299363561897422,0.007548324376108409,0.00907904173071142,0.0,False,0.0
