model,auc_within,n_within,auc_sameday,n_sameday,auc_d1,n_d1,auc_d7,n_d7,auc_d28,n_d28,auc_mean_postgap,rank_within,rank_mean_postgap
PCDT-noPsi,0.7163138649791398,466914,0.6329795142606941,15048,0.6437541379153651,8859,0.6537211460387425,2323,,1599,0.6487376419770539,1.0,2.0
PCDT,0.7155360114891027,466914,0.6267006266665527,15048,0.6378099554841135,8859,0.6445373699880137,2323,,1599,0.6411736627360636,2.0,5.0
DKVMN,0.71436609443689,466914,0.6417568016089732,15048,0.6448572301845865,8859,0.6537342922321463,2323,,1599,0.6492957612083664,3.0,1.0
DKT,0.7128549815572252,466914,0.627149156355758,15048,0.6346519462520694,8859,0.6487449251826933,2323,,1599,0.6416984357173814,4.0,4.0
DKT-F,0.7127900723698987,466914,0.6272162961146597,15048,0.6305909701423471,8859,0.6384154970421065,2323,,1599,0.6345032335922268,5.0,6.0
SAKT,0.7086555165740346,466914,0.6327286978640762,15048,0.637419731802533,8859,0.6475076363917567,2323,,1599,0.6424636840971448,6.0,3.0
Control,0.7075573038830221,466914,0.6101302403791549,15048,0.6237320994017403,8859,0.6276120326334919,2323,,1599,0.625672066017616,7.0,7.0
AKT,0.6937001068629014,466914,0.5968134489203537,15048,0.6047789610189624,8859,0.6144453466341878,2323,,1599,0.6096121538265751,8.0,8.0
