model,n,auc,acc,rmse,nll,ece,brier,auc_archived,delta_vs_archived
DKT,494743,0.7092161221745145,0.6820793826289608,0.4558248817920685,0.6037737131118774,0.011726972091204785,0.2077763210522114,0.7092161221745145,0.0
SAKT,494743,0.7053182507304814,0.6808706742692671,0.4569157660007477,0.6063008308410645,0.01469318781090595,0.20877200160366502,0.7053182507304814,0.0
AKT,494743,0.689541127074799,0.6736204453625417,0.4608971178531647,0.6143456101417542,0.008721400343988897,0.21242613706333963,0.689541127074799,0.0
DKVMN,494743,0.711145653278178,0.683118305867895,0.4552001357078552,0.6024730205535889,0.007890177336103706,0.2072071507704662,0.711145653278178,0.0
DKT-F,494743,0.7090592588657905,0.6816791748443131,0.455935537815094,0.6042693257331848,0.014151084744130644,0.2078772132974221,0.7090592588657905,0.0
PCDT,494743,0.7117241423387753,0.6839894652375071,0.4545285701751709,0.6010534167289734,0.008817933198901746,0.2065962293106988,0.7117241423387753,0.0
PCDT-noPsi,494743,0.7127475390541145,0.6844583955710338,0.4542721211910248,0.6004469394683838,0.008011650577357199,0.20636317674412405,0.7127475390541145,0.0
Control,494743,0.7034247787768779,0.6802703625922953,0.45663535594940186,0.6053245067596436,0.005719613820028337,0.20851584076963905,0.7034247787768779,0.0
