dimension,ednet_flat
I_t (identity),0.6274738931117627
C_t (cognition),0.42524797036942363
B_t (behaviour),-0.013642736951963993
M_t (metacognition),0.09133232250372654
G_t (goals),0.1341102930542709
H_t (historical memory),0.7549619180743027
