dimension,ednet_flat
I_t (identity),0.625044828200563
C_t (cognition),0.4253137564454133
B_t (behaviour),-0.013925264691257955
M_t (metacognition),0.08897661748493409
G_t (goals),0.13887490265999333
H_t (historical memory),0.7657962670948252
