adequate,n_learners,n_points,retention_advantage,ci_lo,ci_hi,auc_pcdt,auc_comparator,horizon,comparator,source
True,4255,15132,0.010878659861297657,0.008292361068624857,0.013425102235838916,0.7341025270150026,0.71639004744485,d1,Control,real
True,2984,6490,0.007727268393224573,0.0037457337973134026,0.011565321133753846,0.7143899785288019,0.6998288904267225,d7,Control,real
True,2124,3171,0.004223249655692873,-0.0008952081557064201,0.009547504839556596,0.7252489257945555,0.7141918564300077,d28,Control,real
True,4255,15132,0.00345165450541729,-0.0013942299957401677,0.00845102196461657,0.7341025270150026,0.7138133030298223,d1,DKT-F,real
True,2984,6490,0.006200113876199231,-0.0014726600051355066,0.013854875501618286,0.7143899785288019,0.6913522951728397,d7,DKT-F,real
True,2124,3171,0.012543858264775998,0.0008692923038109119,0.023887900196622215,0.7252489257945555,0.6958674980500165,d28,DKT-F,real
True,4255,15132,-0.006454550240425294,-0.010049333013091081,-0.002998001655550493,0.7341025270150026,0.7367405864022352,d1,DKVMN,real
True,2984,6490,-0.017095490565506744,-0.022733796089648265,-0.011567810588029397,0.7143899785288019,0.727668978241116,d7,DKVMN,real
True,2124,3171,-0.016469437682880672,-0.024470929947705382,-0.007705264850866982,0.7252489257945555,0.7379018726242434,d28,DKVMN,real
