model,n,auc,acc,rmse,nll,ece,brier,auc_archived,delta_vs_archived
DKT,711147,0.7324279466832969,0.735267110738005,0.4224070906639099,0.5337113738059998,0.012897500772581044,0.17842775672804942,0.7324279466832969,0.0
SAKT,711147,0.7294289082412079,0.7331367495046734,0.42384761571884155,0.5365637540817261,0.021860400428940736,0.179646794467476,0.7294289082412079,0.0
AKT,711147,0.7411708274600037,0.7394701798643599,0.4193364381790161,0.5270415544509888,0.0022463288022916954,0.17584305609019896,0.7411708274600037,0.0
DKVMN,711147,0.7474374772653216,0.7433160795166119,0.41702643036842346,0.5224725604057312,0.006034582430911613,0.17391104508278027,0.7474374772653216,0.0
DKT-F,711147,0.7339814324186835,0.7363892416054627,0.4217556118965149,0.5324382781982422,0.009668634043287704,0.17787778295967513,0.7339814324186835,0.0
PCDT,711147,0.7508283662294948,0.7452552004016048,0.4158029854297638,0.5199999213218689,0.00938859853410897,0.17289213689604052,0.7508283662294948,0.0
PCDT-noPsi,711147,0.7508194374835642,0.745395818304795,0.41569069027900696,0.5197250843048096,0.004796332304244455,0.1727987472061351,0.7508194374835642,0.0
Control,711147,0.7435195089356016,0.7425356501539063,0.41805610060691833,0.5247836112976074,0.003492350019096587,0.17477090078926646,0.7435195089356016,0.0
