removed_or_compared,auc_variant,auc_pcdt,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT-noPsi,0.7508194374835642,0.7508283662294948,8.928745930614213e-06,-0.0003710581395896251,0.00037982740388195214,0.947,False,0.947
Control,0.7435195089356016,0.7508283662294948,0.0073088572938931895,0.006754346138958511,0.007932447414031577,0.0,False,0.0
DKVMN,0.7474374772653216,0.7508283662294948,0.0033908889641731665,0.0025451800571340668,0.004268912394547834,0.0,False,0.0
