adequate,n_learners,n_points,retention_advantage,ci_lo,ci_hi,auc_pcdt,auc_comparator,horizon,comparator,source
True,4434,24789,0.015084925736279509,0.012534147417154012,0.017650051482263007,0.6852823278876601,0.6576056047739012,d1,Control,real
True,4050,8607,0.008990926668591581,0.004687113665609507,0.013427587717638087,0.6484654412023415,0.6268827171562705,d7,Control,real
False,1169,1214,,,,,,d28,Control,INADEQUATE
True,4434,24789,-0.008461929923712308,-0.011924408642864584,-0.005085410635512318,0.6852823278876601,0.6929043325489481,d1,DKT-F,real
True,4050,8607,-0.0022770256271311684,-0.008783848553653337,0.003963666402675204,0.6484654412023415,0.6499025415670484,d7,DKT-F,real
False,1169,1214,,,,,,d28,DKT-F,INADEQUATE
