model,n,auc,acc,rmse,nll,ece,brier,auc_archived,delta_vs_archived
DKT,714265,0.732681304231279,0.7355407306811897,0.4219980537891388,0.5327953696250916,0.012541603152529432,0.17808235363637506,0.732681304231279,0.0
SAKT,714265,0.7283584174124497,0.7328162516712985,0.4244396388530731,0.5383421182632446,0.029687260456320797,0.18014899884199995,0.7283584174124497,0.0
AKT,714265,0.7382063254600562,0.7380874045347315,0.42015957832336426,0.5288788080215454,0.01213858792199469,0.1765340665747071,0.7382063254600562,0.0
DKVMN,714265,0.7454449076800607,0.7424975324284404,0.4173787534236908,0.523156464099884,0.005120834418833805,0.17420504016223515,0.7454449076800607,0.0
DKT-F,714265,0.7324855886805348,0.7359383422119241,0.42192956805229187,0.5326873064041138,0.01192419209448817,0.17802455623523702,0.7324855886805348,0.0
PCDT,714265,0.7476442390125488,0.7444225882550594,0.4163704812526703,0.5212401151657104,0.005824353121623759,0.17336436620550308,0.7476442390125488,0.0
PCDT-noPsi,714265,0.7479632654877163,0.7440949787543839,0.41633594036102295,0.5211086273193359,0.006327263041276678,0.17333560894086145,0.7479632654877163,0.0
Control,714265,0.7409875756044912,0.7418997150917377,0.4184664785861969,0.525739312171936,0.006308209462820839,0.17511418650995536,0.7409875756044912,0.0
