bucket,n,delta,ci_lo,ci_hi,p,sig,seed,role,comparison
within,324164,0.001149960792281357,0.0005722117547440314,0.001756244627270048,0.0,True,s1,exploratory,PCDT - PCDT-noPsi
d1,25354,-0.004917432974339997,-0.007160453313299961,-0.002667034712657976,0.0,True,s1,exploratory,PCDT - PCDT-noPsi
d7,8934,-0.0015374527159804918,-0.0052707496267754865,0.002264214441542336,0.427,False,s1,exploratory,PCDT - PCDT-noPsi
within,313743,0.00033724652833222457,-0.0002842287250269998,0.0009634938212777193,0.292,False,s2,exploratory,PCDT - PCDT-noPsi
d1,24484,-0.0017057026158417976,-0.003919822393677793,0.0005050118544942219,0.139,False,s2,exploratory,PCDT - PCDT-noPsi
d7,8601,-0.000888202653624548,-0.004588253939391257,0.002867592495705931,0.656,False,s2,exploratory,PCDT - PCDT-noPsi
within,325503,-1.8846137608274915e-06,-0.0006187671308752696,0.0006361469822651035,0.974,False,s3,CONFIRMATORY,PCDT - PCDT-noPsi
d1,24789,-0.0054884098540159965,-0.007639366086064084,-0.0033338445487555053,0.0,True,s3,CONFIRMATORY,PCDT - PCDT-noPsi
d7,8607,-0.004871592334695363,-0.008783312832642234,-0.0011820407824840742,0.015,True,s3,CONFIRMATORY,PCDT - PCDT-noPsi
