comparison,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm,verdict
PCDT - DKT,0.001982817782100299,0.0012927541110271724,0.002643790023748521,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - SAKT,0.006305016952805165,0.005454566669304298,0.007148748420683906,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - AKT,0.024631948618788924,0.023128377873290924,0.026199812068882243,0.0,True,0.0,significant AND meaningful
PCDT - DKVMN,0.00022795235407269132,-0.0005726522761438452,0.0009786595709625058,0.592,False,0.592,not significant
PCDT - DKT-F,0.0020385269914326987,0.00138149721867733,0.0026282632583618953,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - PCDT-noPsi,-0.0014650482610675253,-0.0018515320195091917,-0.0010638177238871452,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - Control,0.007919066644186179,0.0071875221080768045,0.008677466934797462,0.0,False,0.0,significant but < 0.01 (negligible)
