model,auc_within,n_within,auc_sameday,n_sameday,auc_d1,n_d1,auc_d7,n_d7,auc_d28,n_d28,auc_mean_postgap,rank_within,rank_mean_postgap
PCDT-noPsi,0.7164338424359717,470863,0.6302102687061205,15247,0.6329838002571896,8762,0.6283447512150002,2299,,1574,0.630664275736095,1.0,2.0
PCDT,0.7150593219619277,470863,0.6264928819770542,15247,0.6291254516180838,8762,0.6236319745494059,2299,,1574,0.6263787130837448,2.0,6.0
DKVMN,0.7143942034390126,470863,0.6367862646899745,15247,0.6406133654025888,8762,0.6350314531834846,2299,,1574,0.6378224092930367,3.0,1.0
DKT,0.7130269355502898,470863,0.6263498105456271,15247,0.6251925463291718,8762,0.6327198722349443,2299,,1574,0.628956209282058,4.0,4.0
DKT-F,0.7128350203935042,470863,0.6281562747756004,15247,0.629077446322153,8762,0.6257263196974862,2299,,1574,0.6274018830098196,5.0,5.0
SAKT,0.7083768670390186,470863,0.6292330115286927,15247,0.6323523093544172,8762,0.6288632366614019,2299,,1574,0.6306077730079096,6.0,3.0
Control,0.7073511545817375,470863,0.6106360167736709,15247,0.6192045718518566,8762,0.6187531705225022,2299,,1574,0.6189788711871794,7.0,7.0
AKT,0.6908342104706583,470863,0.5886108332597844,15247,0.6001230268745074,8762,0.5969755815758436,2299,,1574,0.5985493042251755,8.0,8.0
