model,params,hidden,lr,capacity_matched,n,auc,acc,rmse,nll,ece,brier
DKT,351583,184,0.0005,True,498745,0.7091457539195735,0.68292213455774,0.4552038311958313,0.6026031374931335,0.009004129058312714,0.20721053842294737
SAKT,347097,172,0.0005,True,498745,0.7048235547488686,0.6818915477849402,0.45636874437332153,0.6050328016281128,0.011387965970807141,0.2082724344704729
AKT,351142,237,0.0005,True,498745,0.6864966230828848,0.6738072562130949,0.46119821071624756,0.6150856614112854,0.007005515196682901,0.2127038124192125
DKVMN,349921,240,0.001,True,498745,0.7109006193476011,0.6839988370810735,0.4547971487045288,0.6017430424690247,0.006988702956882673,0.20684044457242415
DKT-F,349673,183,0.0005,True,498745,0.7090900447102411,0.6833231410841212,0.45511680841445923,0.6023381352424622,0.005246884721379111,0.20713127852644136
PCDT,348371,159,0.0005,True,498745,0.7111285717016738,0.6847246588938235,0.45413467288017273,0.6001510620117188,0.0040244611090904546,0.20623830964524187
PCDT-noPsi,348371,159,0.0005,True,498745,0.7125936199627413,0.6849391973854374,0.4537847340106964,0.599462628364563,0.004060535195209058,0.20592057382748533
Control,348371,159,0.0005,True,498745,0.7032095050574876,0.6812198618532517,0.4561483561992645,0.6043203473091125,0.006628515494518837,0.20807133576067935
