model,params,hidden,lr,capacity_matched,n,auc,acc,rmse,nll,ece,brier
DKT,350926,150,0.0005,True,384471,0.7452690507363999,0.7267440197049972,0.42982643842697144,0.5504872798919678,0.008979102761568575,0.18475076605573
SAKT,344541,140,0.0005,True,384471,0.7243816064964145,0.712425644586978,0.4378799796104431,0.5669975280761719,0.009610963157505842,0.19173887884326093
AKT,350021,199,0.001,True,384471,0.7316442860263164,0.717598986659592,0.4356231391429901,0.562981903553009,0.01475081922076723,0.18976752725919796
DKVMN,350351,182,0.002,True,384471,0.7432672832582099,0.7254253246668799,0.4304907023906708,0.5518450736999512,0.007146263886466397,0.18532226920469752
DKT-F,348589,149,0.002,True,384471,0.7492601777692057,0.7275659282494649,0.4284990429878235,0.5475563406944275,0.008784180982856625,0.18361144610148825
PCDT,350412,134,0.0005,True,384471,0.7505806615184115,0.7301226880570967,0.4273141324520111,0.5450286865234375,0.004848718539143784,0.18259737489569292
PCDT-noPsi,350412,134,0.002,True,384471,0.7499811124045486,0.7296779210915778,0.427562952041626,0.5453783273696899,0.006308193187009897,0.18281007264120158
Control,350412,134,0.0005,True,384471,0.7359713943295682,0.7231988888628791,0.4325348436832428,0.5563406348228455,0.01027582160825185,0.18708637895496796
