comparison,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm,verdict
PCDT - DKT,0.005311610782011589,0.004438817882804555,0.006190074525150865,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - SAKT,0.026199055021997042,0.024694745520299915,0.027761908384825104,0.0,True,0.0,significant AND meaningful
PCDT - AKT,0.018936375492095148,0.0179223204237721,0.019988807895538096,0.0,True,0.0,significant AND meaningful
PCDT - DKVMN,0.0073133782602016195,0.0065263191282981135,0.008144637198601142,0.0,False,0.0,significant but < 0.01 (negligible)
PCDT - DKT-F,0.001320483749205792,0.00047701848983156274,0.0021896684509045052,0.002,False,0.004,significant but < 0.01 (negligible)
PCDT - PCDT-noPsi,0.0005995491138629516,4.42712137752932e-05,0.001153348194195602,0.037,False,0.037,significant but < 0.01 (negligible)
PCDT - Control,0.014609267188843367,0.01354778387763024,0.015595807183807722,0.0,True,0.0,significant AND meaningful
