comparison,delta_auc,ci_lo,ci_hi,p,meaningful,p_holm
PCDT - DKT,0.017149554717508564,0.01609084534986251,0.018228425069715726,0.0,True,0.0
PCDT - SAKT,0.019903255470542724,0.018751879232366757,0.02114991277280643,0.0,True,0.0
PCDT - AKT,0.010459263275985009,0.009682137883392075,0.01124593201383128,0.0,True,0.0
PCDT - DKVMN,0.002217430089089145,0.0014318184649747268,0.0031122637680272487,0.0,False,0.0
PCDT - DKT-F,0.016030864926118937,0.014965306299720899,0.017134506845957687,0.0,True,0.0
PCDT - PCDT-noPsi,0.0003235247983230938,2.823504016673806e-05,0.000631568360851259,0.03,False,0.03
PCDT - Control,0.007705521346617394,0.0071249983392652014,0.008223136790582628,0.0,False,0.0
