adequate,n_learners,n_points,retention_advantage,ci_lo,ci_hi,auc_pcdt,auc_comparator,horizon,comparator,source
True,4256,15025,0.007196525154511857,0.00472933069257134,0.009496114062134204,0.7315086254190796,0.7170317484506755,d1,Control,real
True,3096,6885,0.009871026467378696,0.006652320993574734,0.013194803631072003,0.7364979969137293,0.7193466186324584,d7,Control,real
True,2191,3251,0.0082770877791557,0.003173639464969555,0.013465007581904118,0.7278741875088314,0.7123167479157835,d28,Control,real
True,4256,15025,0.003281671409284037,-0.0010247514892701647,0.00798384283010796,0.7315086254190796,0.7123080463273392,d1,DKT-F,real
True,3096,6885,0.004913275773568926,-0.002198664097017339,0.011752859845415546,0.7364979969137293,0.7156658134577041,d7,DKT-F,real
True,2191,3251,0.015530903325032708,0.005074574620377942,0.0264467749684898,0.7278741875088314,0.6964243765013424,d28,DKT-F,real
True,4256,15025,-0.013039583301261315,-0.016341136889052605,-0.009463928608417011,0.7315086254190796,0.7418819059229909,d1,DKVMN,real
True,3096,6885,-0.009955422964894711,-0.014928144463333811,-0.004996553859938394,0.7364979969137293,0.743787117081274,d7,DKVMN,real
True,2191,3251,-0.011355542588221912,-0.019284887061927842,-0.0033024135338235996,0.7278741875088314,0.7365634272997033,d28,DKVMN,real
